ホワイト系,white
ブラック系,#000000
グレー系,#808080
ブルー系,#000088
グリーン系,#006600
パープル系,#9900FF
レッド系,#990000
ピンク系,#FF55FF
イエロー系,#FFFF00
オレンジ系,#FF4F02
ベージュ系,#FFEBCD
ブラウン系,#8B4513
ゴールド系,#DAA520
シルバー系,#C0C0C0
デニム,#A4C6FF
